Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2024,Dengue,Viral,1.82,2.98,7.01,36-60,Female,623844,96.83,0.56,9.72,Medication,4664,No,87.75,484,8.11,56179,0.63,29.0
USA,2020,Influenza,Metabolic,8.06,0.4,2.78,61+,Male,871292,60.95,2.81,8.16,Therapy,49671,Yes,58.75,1458,1.23,31474,0.73,55.38
USA,2023,Dengue,Parasitic,12.0,5.12,9.81,19-35,Male,825564,60.93,2.6,7.1,Surgery,45724,Yes,52.79,2735,9.81,22960,0.84,59.6
USA,2023,HIV/AIDS,Parasitic,6.87,12.19,8.07,0-18,Male,154673,99.94,1.16,3.04,Therapy,36734,Yes,55.05,2507,7.33,89593,0.42,21.39
USA,2021,Rabies,Genetic,15.35,10.93,0.54,36-60,Female,8728,66.2,1.69,1.05,Medication,42635,Yes,86.55,3624,3.53,7943,0.8,56.1
USA,2021,Rabies,Genetic,11.0,11.82,0.15,61+,Male,197122,92.64,2.63,3.64,Surgery,47468,No,73.51,1779,2.35,69253,0.63,87.01
USA,2020,Influenza,Autoimmune,18.27,11.01,3.3,19-35,Other,739968,86.94,4.81,4.73,Therapy,30409,No,95.14,4073,2.64,21491,0.76,79.27
USA,2022,Parkinson's Disease,Cardiovascular,11.8,11.78,3.05,61+,Male,149839,76.69,2.86,7.58,Vaccination,32645,Yes,80.59,109,2.05,42949,0.77,41.47
USA,2020,Polio,Parasitic,18.4,0.35,9.74,61+,Male,206560,75.96,2.25,6.4,Vaccination,47340,No,74.75,1897,0.82,58788,0.5,50.89
USA,2021,Ebola,Bacterial,0.42,1.58,7.45,36-60,Other,511296,84.07,2.07,6.42,Therapy,7716,No,95.79,4669,0.29,42880,0.61,73.91
USA,2020,Cholera,Metabolic,1.79,6.89,6.44,19-35,Female,804321,75.87,2.88,4.41,Vaccination,49936,No,55.23,4819,9.8,35748,0.83,38.94
USA,2023,Polio,Infectious,10.51,6.11,4.55,61+,Female,670291,81.84,4.62,2.27,Vaccination,2143,Yes,75.99,2624,3.24,78524,0.42,36.5
USA,2022,Alzheimer's Disease,Parasitic,5.37,4.1,4.51,0-18,Other,576326,62.99,2.76,5.61,Medication,21516,No,53.72,1129,8.01,6492,0.56,57.64
USA,2024,Cancer,Autoimmune,4.95,13.4,4.89,61+,Male,501957,77.37,1.89,1.74,Surgery,28051,Yes,69.35,4880,5.11,69335,0.61,30.2
USA,2024,Zika,Metabolic,6.7,4.73,7.54,61+,Male,679583,78.37,1.12,2.57,Surgery,26637,No,97.35,1069,7.85,7409,0.55,25.77
USA,2022,Ebola,Viral,9.09,12.86,6.25,61+,Female,107517,54.83,3.58,8.47,Vaccination,18517,No,60.38,785,2.23,34281,0.86,88.27
USA,2023,Polio,Neurological,12.79,2.43,1.31,0-18,Female,133620,54.31,1.2,7.35,Therapy,27166,No,94.82,1272,1.48,57545,0.48,88.87
USA,2024,Rabies,Respiratory,7.14,11.8,9.05,19-35,Female,689332,87.8,1.03,2.05,Surgery,9042,Yes,90.13,488,9.7,11992,0.5,36.62
USA,2021,Zika,Chronic,17.87,14.19,1.37,0-18,Female,386887,88.08,1.92,3.06,Vaccination,145,No,66.21,4752,1.81,23251,0.83,21.24
USA,2020,HIV/AIDS,Chronic,16.69,4.04,6.53,61+,Female,608522,99.49,2.64,2.45,Medication,17234,Yes,60.9,3946,5.96,1977,0.47,64.35
USA,2023,Malaria,Chronic,8.3,9.17,4.55,19-35,Female,685947,98.77,4.19,9.76,Surgery,44990,Yes,50.56,4404,9.38,50357,0.73,79.5
USA,2021,Asthma,Cardiovascular,16.88,0.14,6.92,0-18,Male,866567,67.78,3.08,9.23,Surgery,37924,Yes,80.16,3293,2.41,7019,0.83,37.25
USA,2022,Malaria,Viral,18.88,11.85,3.1,19-35,Male,257655,56.18,4.41,6.01,Vaccination,1385,No,77.81,955,1.3,86418,0.61,74.08
USA,2020,Cancer,Viral,12.81,0.47,0.38,0-18,Other,766570,87.61,2.16,6.0,Surgery,33175,No,61.12,4745,2.67,31614,0.44,57.71
USA,2022,Zika,Viral,16.43,8.51,9.38,19-35,Other,837027,79.35,2.86,9.07,Therapy,5288,No,64.87,4732,5.7,91393,0.82,78.52
USA,2021,Hypertension,Genetic,18.67,14.02,1.91,19-35,Other,276471,84.93,1.16,0.87,Vaccination,564,No,73.98,2785,8.1,42726,0.89,44.2
USA,2020,Measles,Infectious,11.73,8.16,2.78,61+,Other,254130,80.34,4.71,6.17,Therapy,48032,Yes,96.78,4838,0.81,81586,0.7,25.41
USA,2023,Asthma,Respiratory,18.3,8.89,3.52,61+,Female,553793,99.35,4.62,8.82,Vaccination,24001,No,81.52,4992,6.97,83559,0.85,32.16
USA,2022,Cholera,Viral,10.79,4.44,7.8,19-35,Other,235355,69.75,3.99,0.69,Therapy,21194,No,53.78,4208,2.75,5515,0.59,41.35
USA,2020,Dengue,Respiratory,11.99,9.36,9.35,19-35,Male,851571,81.29,2.05,9.17,Surgery,38672,No,65.59,4988,4.78,72237,0.72,64.12
USA,2021,Diabetes,Parasitic,17.84,1.27,0.66,19-35,Other,614595,84.65,3.82,8.66,Surgery,5079,Yes,82.84,1399,3.45,94798,0.81,35.98
USA,2021,Zika,Respiratory,15.85,9.9,4.91,19-35,Female,933812,57.49,3.75,5.0,Surgery,12309,No,69.57,3636,7.1,52022,0.83,24.34
USA,2023,Cholera,Autoimmune,15.64,10.44,0.62,19-35,Other,213343,65.52,1.79,7.18,Surgery,38334,No,76.02,2873,0.25,11510,0.77,84.89
USA,2020,Leprosy,Parasitic,16.04,12.31,8.69,36-60,Male,712226,64.3,0.93,4.63,Surgery,27555,Yes,63.47,504,9.29,19732,0.82,22.13
USA,2020,Zika,Bacterial,10.09,10.58,3.95,61+,Male,437179,51.77,1.78,8.26,Vaccination,45263,No,61.08,1164,3.86,21453,0.69,26.57
USA,2021,Zika,Infectious,0.73,5.4,0.54,19-35,Male,297468,77.33,3.83,8.51,Therapy,8917,Yes,78.11,4714,9.58,98565,0.59,84.95
USA,2024,Hepatitis,Metabolic,15.46,10.99,5.11,19-35,Female,256755,82.86,2.48,2.58,Vaccination,30359,No,62.8,4696,5.34,95054,0.82,27.57
USA,2024,Cancer,Respiratory,16.25,7.64,7.56,36-60,Other,791216,88.43,0.62,9.99,Medication,12985,No,65.96,4614,3.63,75308,0.57,26.72
USA,2023,Malaria,Infectious,5.27,13.6,8.47,36-60,Other,979391,61.42,2.01,6.68,Vaccination,30767,No,64.75,2416,0.8,75473,0.8,37.93
USA,2024,Influenza,Cardiovascular,7.33,3.91,9.44,36-60,Male,38736,72.63,4.82,2.72,Medication,18134,No,85.76,616,3.61,85303,0.87,33.12
USA,2022,Ebola,Autoimmune,4.23,2.34,2.61,0-18,Other,607409,89.97,4.14,6.02,Medication,34873,Yes,53.27,3031,7.9,73124,0.9,37.15
USA,2022,Alzheimer's Disease,Neurological,5.03,8.16,5.45,61+,Male,223613,58.38,2.33,0.73,Therapy,25591,Yes,68.44,4177,7.19,9624,0.75,63.31
USA,2024,Cholera,Autoimmune,8.34,0.78,3.4,0-18,Other,215605,74.75,4.39,4.93,Medication,1498,No,97.1,338,1.65,36342,0.74,75.98
USA,2024,COVID-19,Genetic,16.61,10.25,3.79,19-35,Male,749940,76.67,4.16,5.01,Therapy,12112,Yes,98.23,1009,8.94,81670,0.72,67.75
USA,2021,Malaria,Metabolic,15.47,13.59,7.25,19-35,Other,169003,85.87,2.1,9.02,Therapy,48701,Yes,55.81,1511,7.16,72812,0.8,73.31
USA,2020,HIV/AIDS,Chronic,12.94,1.82,4.2,0-18,Other,299230,77.19,2.58,5.28,Therapy,9159,Yes,54.09,1032,2.59,68397,0.86,26.68
USA,2023,Measles,Genetic,9.2,5.66,1.26,0-18,Female,608154,59.11,2.52,7.0,Surgery,22131,No,74.02,1802,9.88,27348,0.56,85.85
USA,2021,Hypertension,Bacterial,3.57,6.12,4.72,0-18,Male,265145,76.56,0.71,8.79,Vaccination,31276,Yes,66.75,4121,6.03,19264,0.55,72.46
USA,2020,Polio,Cardiovascular,14.49,8.59,3.98,61+,Other,750692,86.92,1.14,7.08,Vaccination,18477,No,71.82,2629,4.74,15059,0.6,47.74
USA,2020,Malaria,Parasitic,4.11,13.29,5.95,61+,Male,138584,51.03,0.7,7.27,Vaccination,41507,No,87.77,4133,7.64,13697,0.69,48.35
USA,2020,Tuberculosis,Neurological,8.53,14.87,2.37,36-60,Male,278727,61.52,4.71,9.77,Therapy,21083,No,63.78,4520,9.68,89352,0.87,42.32
USA,2024,Cholera,Respiratory,19.45,14.04,5.44,19-35,Other,380211,54.37,3.95,0.88,Surgery,5605,No,71.22,2957,7.53,2762,0.74,73.48
USA,2024,HIV/AIDS,Neurological,0.38,5.47,5.12,36-60,Other,900371,87.36,0.9,9.0,Therapy,11533,No,96.77,417,4.01,89594,0.67,43.4
USA,2024,Hepatitis,Viral,1.24,14.54,7.53,19-35,Female,932222,54.29,1.88,9.03,Vaccination,48258,Yes,96.11,3985,4.74,63444,0.78,78.56
USA,2023,COVID-19,Cardiovascular,12.14,1.39,7.59,61+,Female,318232,70.75,2.0,8.43,Vaccination,4397,Yes,56.27,1589,7.88,10584,0.83,86.1
USA,2020,Diabetes,Respiratory,8.83,2.79,8.58,19-35,Male,536720,89.08,3.21,9.04,Surgery,21569,No,95.77,3902,7.32,32467,0.67,87.29
USA,2021,Cholera,Chronic,18.49,8.94,5.27,19-35,Other,478042,67.18,2.7,3.25,Medication,28959,No,76.75,2980,6.59,872,0.79,33.39
USA,2022,Hypertension,Autoimmune,10.2,14.45,6.61,19-35,Male,216618,86.04,3.53,5.47,Medication,30879,Yes,87.13,880,4.54,24126,0.6,48.29
USA,2020,Zika,Cardiovascular,11.93,1.71,3.35,19-35,Other,937845,67.75,1.66,3.17,Surgery,24371,Yes,93.64,1051,8.79,35333,0.55,77.81
USA,2024,Zika,Neurological,12.53,8.73,5.09,36-60,Male,210364,93.78,1.21,8.01,Therapy,47474,No,61.08,2548,8.15,83146,0.77,54.53
